token,freq,status
book,228,keep
next,226,english
besi,224,mapped
se,224,mapped
does,223,unreviewed
bass,221,keep
eta,219,mapped
worst,219,english
blue,219,keep
shopping,218,keep
brand,218,keep
lights,218,keep
hoto,217,mapped
cable,217,keep
installation,216,keep
hobe,216,mapped
second,216,keep
hoye,215,mapped
why,214,english
today,212,english
bohat,212,unreviewed
kori,211,mapped
wonderful,209,english
ata,209,mapped
description,209,english
can't,208,english
definitely,207,english
sathe,207,mapped
arrived,207,english
hoise,206,mapped
big,204,keep
bar,202,keep
almost,201,english
took,201,english
must,200,keep
hoi,200,mapped
helpful,200,english
faltu,199,mapped
ti,199,mapped
ho,199,unreviewed
device,198,keep
make,198,keep
pore,198,mapped
damaged,198,english
support,198,keep
shundor,198,mapped
did,197,unreviewed
damage,197,keep
hair,197,keep
rider,196,keep
know,196,english
ac,196,keep
shampoo,196,keep
akdom,195,mapped
discount,194,english
water,193,keep
however,193,english
backup,192,keep
thak,191,mapped
bt,191,keep
packet,191,mapped
items,191,english
extra,191,keep
nhi,191,unreviewed
hate,190,mapped
white,190,keep
remote,189,keep
behaviour,188,english
kub,188,mapped
motamoti,187,mapped
jai,187,mapped
off,187,keep
that's,187,english
joss,186,mapped
gd,185,mapped
yet,185,english
hard,185,mapped
top,185,keep
handfree,185,english
who,184,english
boro,184,mapped
red,184,keep
few,184,english
bottle,184,keep
provide,183,english
pelam,183,mapped
short,183,keep
wrong,182,english
jinish,181,mapped
nicely,181,unreviewed
korte,180,mapped
rate,179,keep
fantastic,179,english
given,177,unreviewed
may,175,english
while,175,english
nosto,174,unreviewed
asa,173,mapped
ek,173,unreviewed
mouse,173,keep
intact,172,unreviewed
ye,172,unreviewed
pack,171,keep
ma,171,unreviewed
expect,171,unreviewed
bags,171,keep
shipping,170,unreviewed
gave,170,unreviewed
dhonnobad,170,mapped
real,169,keep
another,169,english
never,168,english
jo,168,unreviewed
check,167,keep
purchased,167,unreviewed
gulo,166,mapped
cover,165,keep
eto,165,mapped
baby,165,keep
way,163,keep
strong,163,mapped
go,162,keep
mentioned,162,unreviewed
dilam,162,mapped
change,161,unreviewed
tik,161,mapped
clear,160,keep
smooth,160,keep
job,160,unreviewed
ak,159,keep
year,159,keep
slow,159,keep
kapor,159,keep
dont,158,unreviewed
taste,158,keep
smart,157,keep
draz,157,unreviewed
local,157,keep
timing,157,unreviewed
je,156,mapped
haier,156,keep
here,155,english
call,154,keep
set,154,keep
advertised,153,unreviewed
inside,153,unreviewed
system,153,keep
handsfree,153,unreviewed
superb,152,keep
hand,152,keep
absolutely,152,unreviewed
thi,152,unreviewed
boht,152,unreviewed
behavior,151,unreviewed
kotha,150,unreviewed
providing,150,unreviewed
try,149,unreviewed
st,149,keep
life,148,keep
thnx,148,mapped
kichu,148,mapped
asha,147,mapped
ekdom,147,mapped
peyesi,147,mapped
sellar,147,unreviewed
tao,147,mapped
quickly,147,unreviewed
thought,146,unreviewed
piece,146,keep
motamuti,146,mapped
jabe,145,mapped
most,145,keep
ja,145,unreviewed
point,145,unreviewed
th,145,keep
nahi,145,mapped
soo,144,unreviewed
power,144,keep
chole,143,mapped
app,143,keep
compared,143,unreviewed
decent,143,unreviewed
extremely,143,unreviewed
lagse,143,mapped
don,142,unreviewed
ace,142,mapped
she,141,english
people,141,keep
expiry,140,unreviewed
fragrance,140,english
already,139,english
main,139,unreviewed
offer,138,unreviewed
person,137,keep
colors,137,keep
kew,136,unreviewed
nita,136,mapped
home,136,keep
trusted,136,unreviewed
show,136,keep
face,136,keep
wanted,136,unreviewed
honest,136,unreviewed
koi,136,unreviewed
kisu,135,mapped
class,135,keep
times,135,unreviewed
achy,135,unreviewed
orginal,134,unreviewed
useless,134,unreviewed
easily,134,unreviewed
tnq,132,unreviewed
sending,132,unreviewed
missing,132,english
skin,132,keep
care,132,keep
safe,131,keep
i've,131,unreviewed
print,131,keep
potatoes,131,unreviewed
dite,130,unreviewed
dame,130,mapped
things,130,unreviewed
peyeci,130,mapped
gese,130,mapped
wash,130,keep
display,129,keep
services,129,unreviewed
available,129,unreviewed
cooperative,129,unreviewed
oil,129,keep
regular,128,keep
kind,128,keep
come,128,unreviewed
recieved,128,unreviewed
rd,128,unreviewed
done,127,english
feel,127,unreviewed
plz,126,mapped
bluetooth,126,keep
photo,125,keep
pc,125,keep
hn,125,unreviewed
paran,124,unreviewed
future,124,keep
week,124,keep
